=== linear scan (prefetcher-friendly) ===
MiB          ints         seconds      ns/int      
1            262144       0.0005       2.08        
2            524288       0.0010       1.91        
4            1048576      0.0018       1.75        
8            2097152      0.0033       1.57        
16           4194304      0.0069       1.63        
32           8388608      0.0111       1.32        
64           16777216     0.0219       1.31        
128          33554432     0.0439       1.31        
256          67108864     0.0882       1.31        

=== random scan (prefetcher-defeating) ===
MiB          iters        seconds      ns/iter     
1            262144       0.0003       1.14        
2            524288       0.0006       1.20        
4            1048576      0.0014       1.29        
8            2097152      0.0040       1.93        
16           4194304      0.0213       5.09        
32           8388608      0.0544       6.48        
64           16777216     0.1219       7.27        
128          33554432     0.2539       7.57        
256          67108864     0.5010       7.47        
